playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6
Ellim,HANJIN BRION,jng,15.06,15,6,5,0,jng,0.779384805683924,-0.5194142495357853,-1.0117154754320998,-0.4130530929526446,-0.09806893334006354,0.05958053827709121
GIDEON,Nongshim RedForce,jng,15.06,15,6,4,0,jng,0.3282605173145627,-0.510398473220277,-0.015665082911632218,0.13237096254036534,-0.47864681741948056,-0.0824125652893417
Lucid,Dplus Kia,jng,15.06,15,6,5,0,jng,1.9432187181808913,1.1272508733439486,0.6073012235109982,2.116573906376821e-05,-0.2866555327703224,0.024808257620612794
Oner,T1,jng,15.06,15,6,5,0,jng,1.82498205863789,-0.07384518915723805,-0.31842727546247873,0.08425664031855941,-0.6845671936877091,-0.11482848290502067
Peanut,Hanwha Life Esports,jng,15.06,15,6,5,0,jng,-1.7052463544114698,-0.7743921749119269,-0.39849121093105927,-0.7023278631075671,-0.37947962942614966,-0.032118276077584475
Pyosik,DN SOOPers,jng,15.06,15,6,4,0,jng,1.1620327281134106,0.3549029065415377,-1.125630717834107,-0.8637524971353487,-0.28316830009035143,0.010729889797711764
Raptor,BNK FEARX,jng,15.06,15,6,6,0,jng,-0.552440980683951,-0.6366224088569196,0.2578177225218094,0.13029168674168168,-0.2605216741200045,0.06542076466348022
Sponge,DRX,jng,15.06,15,6,4,0,jng,-2.0264948691237366,-0.9128238092420025,1.0173798947456252,-0.2633473586767969,-0.7400353566896709,-0.16556514855467186
Canyon,Gen.G,jng,15.07,15,7,10,0,jng,2.1897871980684758,0.10243959054446006,-1.024269355342643,-0.2924512634851768,-0.8289071932352514,0.00316313235292723
Cuzz,KT Rolster,jng,15.07,15,7,10,0,jng,1.6365094984615696,-0.8091945882127454,0.002898975687533591,-0.9815759089257938,-0.05234525586350533,-0.1367193216303488
GIDEON,Nongshim RedForce,jng,15.07,15,7,10,0,jng,-0.5388129051890438,-0.5361285216204036,0.6114017716017163,-0.3056133155702658,0.17261466661679592,-0.043921963941012145
HamBak,HANJIN BRION,jng,15.07,15,7,10,0,jng,-1.0085173293458873,-0.6784999996983997,-0.0818826257250642,0.013344090044996298,-0.6908004559647967,-0.12819768654214928
Lucid,Dplus Kia,jng,15.07,15,7,10,0,jng,1.037594145623986,0.48448984629959657,0.43959695994427256,-0.2836978863520487,-0.5382521496475159,-0.0028189297016300917
Oner,T1,jng,15.07,15,7,10,0,jng,0.27210810130677215,-0.4454061078318266,-0.3921000595106457,-0.11812227289599256,0.11839106099629483,-0.1652961606153348
Peanut,Hanwha Life Esports,jng,15.07,15,7,9,0,jng,2.8909534284062786,0.474175388682052,0.7279247266249111,0.20256980857383614,0.08708025535489103,-0.12835085502021296
